101,IN903UJ01011,KALYANI STRATEGIC SYSTEMS LIMITED EQ PP RS.5,KALYANI STRATEGIC SYSTEMS LIMITED,EQUITY SHARES,ACTIVE
102,IN903VP01016,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED EQ PP RS.2.5/-,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED,EQUITY SHARES,DELETED
103,IN903VP01024,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED EQ PP RS 4.50/-,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED,EQUITY SHARES,DELETED
104,IN903VP01032,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED EQ PP RS 7.5,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED,EQUITY SHARES,DELETED
105,IN903VP01040,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED EQ PP RS.8.75/-,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED,EQUITY SHARES,DELETED
106,IN903VP01057,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED EQ PP RS. 4/-,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED,EQUITY SHARES,DELETED
107,IN903VP01065,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED EQ PP FV RS.8/-,RAIPUR HANDLING AND INFRASTRUCTURE PRIVATE LIMITED,EQUITY SHARES,ACTIVE
108,IN903VU01016,GLOBAL PAYEX PRIVATE LIMITED EQ PP RS 6.25,GLOBAL PAYEX PRIVATE LIMITED,EQUITY SHARES,DELETED
109,IN903W101018,ARKA FINCAP LIMITED EQ PP RS.3,ARKA FINCAP LIMITED,EQUITY SHARES,DELETED
110,IN903W101026,ARKA FINCAP LIMITED EQ PP RS. 6/-,ARKA FINCAP LIMITED,EQUITY SHARES,DELETED
111,IN9040F01015,NETLINK SOLUTN PP RS.2.50/-,NETLINK SOLUTIONS (INDIA) LIMITED,Equity Shares,Deleted
112,IN9041A01014,DHAMPUR SUGAR MILLS LIMITED CPN RS 35 PAIDUP,DHAMPUR SUGAR MILLS LIMITED,EQUITY SHARES,ACTIVE
113,IN9041A01022,DHAMPUR SUGAR MILLS LIMITED EQ PP RS. 5/-,DHAMPUR SUGAR MILLS LIMITED,EQUITY SHARES,ACTIVE
