ISIN,NAME
"INF174V01721","Mahindra Pragati Bluechip Yojana Growth Direct Plan"
"INF174V01739","Mahindra Manulife Large Cap Pragati Yojana IDCW Reinvest Direct Plan"
"INF174V01739","Mahindra Manulife Large Cap Pragati Yojana IDCW Payout Direct Plan"
"INF903JA1JC0","Sundaram Bluechip Growth Direct Plan"
"INF903JA1JE6","Sundaram Bluechip IDCW Reinvest Direct Plan"
"INF903JA1JD8","Sundaram Bluechip IDCW Payout Direct Plan"
"INF173K01PB1","Principal Large Cap IDCW Payout Direct Plan"
"INF173K01PD7","Principal Large Cap IDCW Reinvest Direct Plan"
"INF173K01PA3","Principal Large Cap Growth Direct Plan"
"INF00XX01804","ITI Large Cap Growth Direct Plan"
"INF00XX01812","ITI Large Cap IDCW Payout Direct Plan"
"INF00XX01820","ITI Large Cap IDCW Reinvest Direct Plan"
"INF044D01CA9","Taurus Discovery Growth Direct Plan"
"INF044D01CB7","Taurus Discovery IDCW Payout Direct Plan"
"INF044D01CC5","Taurus Discovery IDCW Reinvest Direct Plan"
"INF090I01FH9","Franklin India Prima Growth Direct Plan"
"INF090I01FI7","Franklin India Prima IDCW Payout Direct Plan"
"INF090I01FJ5","Franklin India Prima IDCW Reinvest Direct Plan"
"INF109K010N9","ICICI Prudential Midcap IDCW Payout Direct Plan"
"INF109K010N9","ICICI Prudential Midcap IDCW Reinvest Direct Plan"
"INF109K011N7","ICICI Prudential Midcap Growth Direct Plan"
"INF174K01LT0","Kotak Emerging Equity Scheme Growth Direct Plan"
"INF174K01LV6","Kotak Emerging Equity IDCW Payout Direct Plan"
"INF174K01LU8","Kotak Emerging Equity IDCW Reinvest Direct Plan"
"INF174K01LV6","Kotak Emerging Equity IDCW Reinvest Direct Plan"
"INF174V01507","Mahindra Unnati Emerging Business Yojana Growth Direct Plan"
"INF174V01515","Mahindra Manulife Mid Cap Unnati Yojana IDCW Reinvest Direct Plan"
"INF174V01515","Mahindra Manulife Mid Cap Unnati Yojana IDCW Payout Direct Plan"
"INF179K01XO5","HDFC Mid Cap Opportunities IDCW Payout Direct Plan"
"INF179K01XO5","HDFC Mid Cap Opportunities IDCW Reinvest Direct Plan"
"INF179K01XQ0","HDFC Mid Cap Opportunities Growth Direct Plan"
"INF200K01TO7","SBI Magnum Midcap IDCW Payout Direct Plan"
"INF200K01TO7","SBI Magnum Midcap IDCW Reinvest Direct Plan"
"INF200K01TP4","SBI Magnum Midcap Growth Direct Plan"
"INF204K01E21","Nippon India Growth Fund Bonus Bonus Growth Direct Plan"
"INF204K01E39","Nippon India Growth Fund IDCW Payout Direct Plan"
"INF204K01E47","Nippon India Growth Fund IDCW Reinvest Direct Plan"
"INF204K01E54","Nippon India Growth Fund Growth Direct Plan"
"INF205K01MT0","Invesco India Midcap IDCW Payout Direct Plan"
"INF205K01MU8","Invesco India Midcap IDCW Reinvest Direct Plan"
"INF205K01MV6","Invesco India Midcap Growth Direct Plan"
"INF209K01Q22","Aditya Birla Sun Life Midcap IDCW Payout Direct Plan"
"INF209K01Q22","Aditya Birla Sun Life Midcap IDCW Reinvest Direct Plan"
"INF209K01Q30","Aditya Birla Sun Life Midcap Growth Direct Plan"
"INF247L01445","Motilal Oswal Midcap 30 Growth Direct Plan"
"INF247L01452","Motilal Oswal Midcap 30 IDCW Reinvest Direct Plan"
"INF247L01460","Motilal Oswal Midcap 30 IDCW Payout Direct Plan"
"INF251K01HO5","BNP Paribas Mid Cap IDCW Payout Direct Plan"
"INF251K01HP2","BNP Paribas Mid Cap IDCW Reinvest Direct Plan"
"INF251K01HQ0","BNP Paribas Mid Cap Growth Direct Plan"
"INF277K01PX4","Tata Mid Cap Growth Fund IDCW Payout Direct Plan"
"INF277K01PX4","Tata Mid Cap Growth Fund IDCW Reinvest Direct Plan"
"INF277K01PY2","Tata Mid Cap Growth Fund Growth Direct Plan"
"INF397L01JH4","IDBI Midcap IDCW Payout Direct Plan"
"INF397L01JI2","IDBI Midcap IDCW Reinvest Direct Plan"
"INF397L01JK8","IDBI Midcap Growth Direct Plan"
"INF663L01DV3","PGIM India Midcap Opportunities Growth Direct Plan"
"INF663L01DW1","PGIM India Midcap Opportunities IDCW Payout Direct Plan"
"INF663L01DX9","PGIM India Midcap Opportunities IDCW Reinvest Direct Plan"
"INF740K01PX1","DSP Midcap Growth Direct Plan"
"INF740K01PY9","DSP Midcap IDCW Payout Direct Plan"
"INF740K01PY9","DSP Midcap IDCW Reinvest Direct Plan"
"INF789F01TY8","UTI Mid Cap IDCW Payout Direct Plan"
"INF789F01TZ5","UTI Mid Cap IDCW Reinvest Direct Plan"
"INF789F01UA6","UTI Mid Cap Growth Direct Plan"
"INF843K01AO4","Edelweiss Mid Cap Growth Direct Plan"
"INF843K01AP1","Edelweiss Mid Cap IDCW Payout Direct Plan"
"INF843K01AQ9","Edelweiss Mid Cap IDCW Reinvest Direct Plan"
"INF846K01EF7","Axis Mid Cap IDCW Payout Direct Plan"
"INF846K01EG5","Axis Mid Cap IDCW Reinvest Direct Plan"
"INF846K01EH3","Axis Mid Cap Growth Direct Plan"
"INF903J01MH7","Sundaram Mid Cap IDCW Payout Direct Plan"
"INF903J01MI5","Sundaram Mid Cap IDCW Reinvest Direct Plan"
"INF903J01MJ3","Sundaram Mid Cap Growth Direct Plan"
"INF917K01FX6","L&T Midcap IDCW Payout Direct Plan"
"INF917K01FZ1","L&T Midcap Growth Direct Plan"
"INF917K01FX6","L&T Midcap IDCW Reinvestent Reinvest Direct Plan"
"INF955L01AT3","Baroda Mid Cap B IDCW Payout Direct Plan"
"INF955L01AU1","Baroda Mid Cap B IDCW Reinvest Direct Plan"
"INF955L01AV9","Baroda Mid Cap B Growth Direct Plan"
"INF769K01FA9","Mirae Asset Midcap Growth Direct Plan"
"INF769K01EZ9","Mirae Asset Midcap IDCW Payout Direct Plan"
"INF769K01FC5","Mirae Asset Midcap IDCW Reinvest Direct Plan"
"INF966L01879","Quant Mid Cap IDCW Reinvest Direct Plan"
"INF966L01887","Quant Mid Cap Growth Direct Plan"
"INF966L01861","Quant Mid Cap IDCW Payout Direct Plan"
"INF173K01OT6","Principal Midcap IDCW Payout Direct Plan"
"INF173K01OV2","Principal Midcap IDCW Reinvest Direct Plan"
"INF173K01OS8","Principal Midcap Growth Direct Plan"
"INF582M01GK9","Union Midcap IDCW Payout Direct Plan"
"INF582M01GJ1","Union Midcap IDCW Reinvest Direct Plan"
"INF582M01GI3","Union Midcap Growth Direct Plan"
"INF00XX01929","ITI Mid Cap Growth Direct Plan"
"INF00XX01937","ITI Mid Cap IDCW Payout Direct Plan"
"INF00XX01945","ITI Mid Cap IDCW Reinvest Direct Plan"
"INF044D01CD3","Taurus Infrastructure Growth Direct Plan"
"INF044D01CE1","Taurus Infrastructure IDCW Payout Direct Plan"
"INF044D01CF8","Taurus Infrastructure IDCW Reinvest Direct Plan"
"INF044D01CJ0","Taurus Ethical Growth Direct Plan"
"INF044D01CK8","Taurus Ethical IDCW Payout Direct Plan"
"INF044D01CL6","Taurus Ethical IDCW Reinvest Direct Plan"
"INF044D01CN2","Taurus Banking & Financial Services Growth Direct Plan"
"INF044D01CO0","Taurus Banking & Financial Services IDCW Payout Direct Plan"
"INF044D01CP7","Taurus Banking & Financial Services IDCW Reinvest Direct Plan"
"INF090I01FE6","Franklin India Technology Growth Direct Plan"
"INF090I01FF3","Franklin India Technology IDCW Payout Direct Plan"
"INF090I01FG1","Franklin India Technology IDCW Reinvest Direct Plan"
"INF090I01GC8","Franklin India Opportunities Growth Direct Plan"
"INF090I01GD6","Franklin India Opportunities IDCW Payout Direct Plan"
"INF090I01GE4","Franklin India Opportunities IDCW Reinvest Direct Plan"
"INF090I01JD0","Franklin Build India IDCW Payout Direct Plan"
"INF090I01JE8","Franklin Build India IDCW Reinvest Direct Plan"
"INF090I01JF5","Franklin Build India Growth Direct Plan"
"INF109K012J3","ICICI Prudential Banking & Financial Services IDCW Payout Direct Plan"
"INF109K012J3","ICICI Prudential Banking & Financial Services IDCW Reinvest Direct Plan"
"INF109K013J1","ICICI Prudential Banking & Financial Services Growth Direct Plan"
"INF109K017M6","ICICI Prudential Infrastructure IDCW Payout Direct Plan"
"INF109K017M6","ICICI Prudential Infrastructure IDCW Reinvest Direct Plan"
"INF109K018M4","ICICI Prudential Infrastructure Growth Direct Plan"
"INF109K01W17","ICICI Prudential Exports & Services IDCW Payout Direct Plan"
"INF109K01W17","ICICI Prudential Exports & Services IDCW Reinvest Direct Plan"
"INF109K01W25","ICICI Prudential Exports & Services Growth Direct Plan"
"INF109K01Z06","ICICI Prudential FMCG IDCW Payout Direct Plan"
"INF109K01Z06","ICICI Prudential FMCG IDCW Reinvest Direct Plan"
"INF109K01Z14","ICICI Prudential FMCG Growth Direct Plan"
"INF109K01Z30","ICICI Prudential Technology IDCW Payout Direct Plan"
"INF109K01Z30","ICICI Prudential Technology IDCW Reinvest Direct Plan"
"INF109K01Z48","ICICI Prudential Technology Growth Direct Plan"
"INF109KC1GH2","ICICI Prudential Pharma Healthcare & Diagnostics Growth Direct Plan"
"INF109KC1GJ8","ICICI Prudential Pharma Healthcare & Diagnostics IDCW Reinvest Direct Plan"
"INF109KC1GJ8","ICICI Prudential Pharma Healthcare & Diagnostics IDCW Payout Direct Plan"
"INF109KC1LJ8","ICICI Prudential Manufacture In India Growth Direct Plan"
"INF109KC1LK6","ICICI Prudential Manufacture In India IDCW Payout Direct Plan"
"INF109KC1LK6","ICICI Prudential Manufacture In India IDCW Reinvest Direct Plan"
"INF109KC1RH9","ICICI Prudential India Opportunities Growth Direct Plan"
"INF109KC1RI7","ICICI Prudential India Opportunities IDCW Reinvest Direct Plan"
"INF109KC1RI7","ICICI Prudential India Opportunities IDCW Payout Direct Plan"
"INF109KC1YD4","ICICI Prudential Bharat Consumption Growth Direct Plan"
"INF109KC1YF9","ICICI Prudential Bharat Consumption IDCW Reinvest Direct Plan"
"INF109KC1YF9","ICICI Prudential Bharat Consumption IDCW Payout Direct Plan"
"INF109KC1D93","ICICI Prudential MNC Growth Direct Plan"
"INF109KC1E01","ICICI Prudential MNC IDCW Reinvest Direct Plan"
"INF109KC1E01","ICICI Prudential MNC IDCW Payout Direct Plan"
"INF109KC1F91","ICICI Prudential Commodities Growth Direct Plan"
"INF109KC1G09","ICICI Prudential Commodities IDCW Reinvest Direct Plan"
"INF109KC1G09","ICICI Prudential Commodities IDCW Payout Direct Plan"
"INF109KC1O66","ICICI Prudential Quant Growth Direct Plan"
"INF109KC1O74","ICICI Prudential Quant IDCW Reinvest Direct Plan"
"INF109KC1O74","ICICI Prudential Quant IDCW Payout Direct Plan"
"INF109KC1P24","ICICI Prudential Business Cycle Growth Direct Plan"
"INF109KC1P32","ICICI Prudential Business Cycle IDCW Reinvest Direct Plan"
"INF109KC1P32","ICICI Prudential Business Cycle IDCW Payout Direct Plan"
"INF174V01663","Mahindra Rural Bharat & Consumption Yojana Growth Direct Plan"
"INF174V01671","Mahindra Manulife Rural Bharat & Consumption Yojana IDCW Reinvest Direct Plan"
"INF174V01671","Mahindra Manulife Rural Bharat & Consumption Yojana IDCW Payout Direct Plan"
"INF178L01AJ3","Kotak Infrastructure & Economic Reform IDCW Reinvest Direct Plan"
"INF178L01AJ3","Kotak Infrastructure & Economic Reform IDCW Payout Direct Plan"
"INF178L01AL9","Kotak Infrastructure & Economic Reform Growth Direct Plan"
"INF174KA1EZ1","Kotak Pioneer Growth Direct Plan"
"INF174KA1EY4","Kotak Pioneer IDCW Reinvest Direct Plan"
"INF174KA1EY4","Kotak Pioneer IDCW Payout Direct Plan"
"INF179K01WP4","HDFC Infrastructure IDCW Payout Direct Plan"
"INF179K01WP4","HDFC Infrastructure IDCW Reinvest Direct Plan"
"INF179K01WQ2","HDFC Infrastructure Growth Direct Plan"
"INF179KC1AU3","HDFC Hof I 1140d November 2017 Growth Direct Plan"
"INF179KC1AV1","HDFC Housing Opportunities IDCW Payout Direct Plan"
"INF179KC1AV1","HDFC Housing Opportunities IDCW Reinvest Direct Plan"
"INF194K01X46","IDFC Infrastructure Growth Direct Plan"
"INF194K01X53","IDFC Infrastructure IDCW Payout Direct Plan"
"INF194K01X53","IDFC Infrastructure IDCW Reinvest Direct Plan"
"INF200K01RL7","SBI Consumption Opportunities IDCW Payout Direct Plan"
"INF200K01RL7","SBI Consumption Opportunities IDCW Reinvest Direct Plan"
"INF200K01RM5","SBI Consumption Opportunities Growth Direct Plan"
"INF200K01RR4","SBI Infrastructure IDCW Payout Direct Plan"
"INF200K01RR4","SBI Infrastructure IDCW Reinvest Direct Plan"
"INF200K01RS2","SBI Infrastructure Growth Direct Plan"
"INF200K01RU8","SBI Technology Opportunities IDCW Payout Direct Plan"
"INF200K01RU8","SBI Technology Opportunities IDCW Reinvest Direct Plan"
"INF200K01RV6","SBI Technology Opportunities Growth Direct Plan"
